stage_id,label,scenario_count,scenario_pass_count,scenario_pass_rate,avg_conversation_score
expanded_before_fix,Expanded 156-scenario suite before adaptive evolution,156,152,97.44,98.89
expanded_after_fix,Expanded 156-scenario suite after adaptive evolution,156,156,100.0,100.0
